model,context_window_size,holdout_council,accuracy,precision,recall,f1,time_pred
fine-tune-gte-single-sentences,single,seattle,0.9738372093023255,0.9663338305402007,0.9731696916852145,0.9696756454878757,0.031751238329466
fine-tune-mpnet-single-sentences,single,seattle,0.9680232558139535,0.9624655565535162,0.9610826838403076,0.9617697712579077,0.02890892257524091
fine-tune-gte-three-sentences,three,seattle,0.9462209302325582,0.9267017589276726,0.9397512358851589,0.9328238900749506,0.03805560185465702
fine-tune-mpnet-three-sentences,three,seattle,0.9331395348837209,0.914329594017094,0.9164072518860156,0.9120444918229249,0.03664240102435267
semantic-logit-gte-single-sentences,single,seattle,0.9113372093023255,0.8813260913603318,0.9018597872671322,0.890051231904267,3.7453895391419877e-06
fine-tune-gte-five-sentences,five,seattle,0.9113372093023255,0.8839525655223329,0.8922163455532356,0.8842237704677073,0.04847379652566688
fine-tune-mpnet-five-sentences,five,seattle,0.9142441860465116,0.8842500307616588,0.8895863449668434,0.8826593247366233,0.04293867772401765
semantic-logit-mpnet-single-sentences,single,seattle,0.9011627906976745,0.8680458183595157,0.8843056288545722,0.8751618043290407,4.028858140457508e-06
semantic-logit-gte-single-sentences,single,richmond,0.8686868686868687,0.8584860459730184,0.8582189487780383,0.8571107987332464,3.8791184473519375e-06
semantic-logit-mpnet-single-sentences,single,richmond,0.851010101010101,0.8454207838195402,0.8284045679425659,0.8333013613340737,6.1410846132220644e-06
semantic-logit-gte-three-sentences,three,seattle,0.8561046511627907,0.8072728308850926,0.8419971177551889,0.8191088737298088,2.412948497506075e-06
semantic-logit-mpnet-three-sentences,three,seattle,0.8473837209302325,0.7979192628677164,0.8251536411127173,0.8048271123687899,1.848818257797596e-05
fine-tune-mpnet-single-sentences,single,richmond,0.8207070707070707,0.8702902961734639,0.756202804746494,0.7920022737337483,0.032235465266487816
fine-tune-gte-single-sentences,single,richmond,0.8156565656565656,0.8900208986415884,0.7485399694974518,0.7905108028788707,0.035213793166960126
semantic-logit-gte-single-sentences,single,oakland,0.8107923497267759,0.8326759894775669,0.7641165755919855,0.7868134591676429,2.2027661891582884e-06
semantic-logit-mpnet-single-sentences,single,oakland,0.8032786885245902,0.8207542467831678,0.7518214936247724,0.774957772072579,2.1907149768266522e-06
semantic-logit-gte-five-sentences,five,seattle,0.8183139534883721,0.7632415792776778,0.8025574664290503,0.7745561300972152,2.0785387172255406e-06
fine-tune-mpnet-three-sentences,three,richmond,0.8055555555555556,0.8174224229876405,0.7470892385522448,0.7712400659769081,0.03461281037089801
semantic-logit-gte-three-sentences,three,richmond,0.7651515151515151,0.7416225749559082,0.7444481642673809,0.7399801532464183,6.558317126649799e-06
semantic-logit-mpnet-five-sentences,five,seattle,0.7892441860465116,0.7235560929161889,0.7535919705070252,0.7304938303441967,2.7788932933363804e-06
fine-tune-gte-three-sentences,three,richmond,0.7727272727272727,0.80847126095683,0.6934493918089499,0.7254583651642476,0.03331841182227087
semantic-logit-mpnet-three-sentences,three,richmond,0.7525252525252525,0.721592110329378,0.7263884239110218,0.7238256953774195,6.1814231101912685e-06
fine-tune-mpnet-single-sentences,single,oakland,0.7636612021857924,0.8340395738986945,0.6903460837887069,0.7215919369427574,0.03502924015613201
fine-tune-gte-single-sentences,single,oakland,0.7663934426229508,0.8134840399527562,0.697632058287796,0.7210196083334419,0.030904006274020086
fine-tune-mpnet-five-sentences,five,richmond,0.7702020202020202,0.7501748258908184,0.6918312688316037,0.7095023350699683,0.0478577854657414
fine-tune-gte-five-sentences,five,richmond,0.7525252525252525,0.7382565025815513,0.6719116170070305,0.6853048957463734,0.04432456782369903
semantic-logit-mpnet-five-sentences,five,richmond,0.7146464646464646,0.6747168286841007,0.6845776141055686,0.6789072039072038,2.495568208020143e-06
semantic-logit-gte-five-sentences,five,richmond,0.7070707070707071,0.6716168660528878,0.6576832942751926,0.657141821861241,5.847516686025292e-05
semantic-logit-gte-three-sentences,three,oakland,0.7042349726775956,0.7187697687117028,0.6265938069216758,0.6455713965208207,1.633460404442959e-05
fine-tune-mpnet-three-sentences,three,oakland,0.7062841530054644,0.7642806409881816,0.6179417122040073,0.6421071958877191,0.0513097951646711
semantic-logit-mpnet-three-sentences,three,oakland,0.6898907103825137,0.7035540532517991,0.6129326047358834,0.6302133104762183,1.728746408973235e-05
fine-tune-gte-three-sentences,three,oakland,0.6769125683060109,0.7399603320655953,0.5774134790528233,0.5885678315669298,0.04653934002574024
fine-tune-mpnet-five-sentences,five,oakland,0.6543715846994536,0.7053891062204167,0.552367941712204,0.5682776407269629,0.07063965230691628
semantic-logit-mpnet-five-sentences,five,oakland,0.6366120218579235,0.6349816480715129,0.5473588342440802,0.5608134687424364,2.4446047068945047e-06
semantic-logit-gte-five-sentences,five,oakland,0.6181693989071039,0.6119882534844723,0.5214025500910747,0.5313749568058644,3.2342848230580813e-06
fine-tune-gte-five-sentences,five,oakland,0.630464480874317,0.6761022827464594,0.5218579234972678,0.5199053747926917,0.07111026159401149
