session_id,transcript_quality,comment_or_hearing,segment_index,period_start_sentence_index,period_end_sentence_index,notes
0e66fa4c81f5,good-safe-to-use,comment,1,30,265,
0e66fa4c81f5,good-safe-to-use,hearing,2,657,697,
7e763f5d9e2c,good-safe-to-use,comment,1,10,179,
7e763f5d9e2c,good-safe-to-use,hearing,2,800,845,
69d4f15a876b,good-safe-to-use,comment,1,65,156,
8fc230ade8f7,good-safe-to-use,comment,1,10,73,
8fc230ade8f7,good-safe-to-use,hearing,2,500,562,
448b2d2df2d7,bad-do-not-use,,,,,
f67cdc5dc75f,okay-use-if-needed,comment,1,46,140,
f67cdc5dc75f,okay-use-if-needed,hearing,2,601,609,"Difficult to find, not correct start"
0a6c2ec5a44b,good-safe-to-use,comment,1,51,76,
0a6c2ec5a44b,good-safe-to-use,hearing,2,217,241,
0be60cfec44c,good-safe-to-use,comment,1,17/50,,
0be60cfec44c,good-safe-to-use,hearing,2,2314,2400,
0c42b5b15ad7,good-safe-to-use,comment,1,327,380,
00d132adef13,okay-use-if-needed,hearing,1,43,118,
00d132adef13,okay-use-if-needed,hearing,2,442,464,
e84f028716bc,good-safe-to-use,hearing,1,950,989,
2f9097062289,good-safe-to-use,comment,1,13,70,
2f9097062290,good-safe-to-use,hearing,2,365,403,
bd2d23bae1e5,good-safe-to-use,comment,1,108,320,
bd2d23bae1e5,good-safe-to-use,hearing,2,867,933,
43df4943ac91,good-safe-to-use,comment,1,444,849,
43df4943ac92,good-safe-to-use,comment,1,927,942,
e5564c28ba94,good-safe-to-use,comment,1,18,127,
206154593c5e,bad-do-not-use,,,,,
5ba90e79d412,good-safe-to-use,comment,1,36,280,
5ba90e79d412,good-safe-to-use,hearing,2,669,708,
48e698ff33ff,good-safe-to-use,hearing,1,20,44,
48e698ff33ff,good-safe-to-use,hearing,2,47,74,
48e698ff33ff,good-safe-to-use,hearing,3,334,404,
48e698ff33ff,good-safe-to-use,hearing,4,412,438,
48e698ff33ff,good-safe-to-use,hearing,5,455,470,
48e698ff33ff,good-safe-to-use,hearing,6,472,496,
363760c5a501,good-safe-to-use,comment,1,8,195,
363760c5a502,good-safe-to-use,comment,2,566,603,
c788c6ebff48,good-safe-to-use,comment,1,8,86,
c788c6ebff49,good-safe-to-use,comment,2,556,614,
7719f0e0db99,good-safe-to-use,comment,1,110,316,
7719f0e0db99,good-safe-to-use,comment,2,579,604,
7719f0e0db99,good-safe-to-use,comment,3,681,694,
7719f0e0db102,good-safe-to-use,comment,4,1240,1266,
f4fa39725967,bad-do-not-use,,,,,
d2bfbd2812b9,bad-do-not-use,,,,,
1b49739fa9be,good-safe-to-use,comment,1,70,40,
1b49739fa9be,good-safe-to-use,hearing,2,186,,
1b49739fa9be,good-safe-to-use,hearing,3,284,350,
1b49739fa9be,good-safe-to-use,hearing,4,367,392,
1b49739fa9be,good-safe-to-use,hearing,5,394,449,
07fde4f4317a,okay-use-if-needed,comment,1,28,59,
07fde4f4317a,okay-use-if-needed,comment,2,475,523,
c63f15c4d07d,good-safe-to-use,comment,1,32,429,
c63f15c4d07d,good-safe-to-use,comment,2,510,566,
c63f15c4d07d,good-safe-to-use,comment,3,1503,1537,
98853146193d,okay-use-if-needed,comment,1,20,46,
98853146193d,good-safe-to-use,comment,2,284,321,
278521ce3f11,okay-use-if-needed,hearing,1,35,53,
278521ce3f11,okay-use-if-needed,hearing,2,68,96,
278521ce3f11,okay-use-if-needed,hearing,3,150,253,
278521ce3f11,okay-use-if-needed,hearing,4,400,435,
278521ce3f11,okay-use-if-needed,hearing,5,479,500,
278521ce3f11,okay-use-if-needed,comment,6,577,597,
278521ce3f11,okay-use-if-needed,comment,7,627,722,
278521ce3f11,okay-use-if-needed,comment,8,752,773,
37d9fbc2dddb,good-safe-to-use,comment,1,10,25,
37d9fbc2dddb,good-safe-to-use,comment,2,239,254,
cf500933185f,good-safe-to-use,comment,1,33,200,
cf500933185f,good-safe-to-use,comment,2,634,659,
b9b0786cbb71,good-safe-to-use,comment,1,20,109,
b9b0786cbb72,good-safe-to-use,comment,2,373,450,
9f279985fe6f,good-safe-to-use,comment,1,19,31,
9f279985fe6f,good-safe-to-use,comment,2,69,93,
b33cd52b6796,good-safe-to-use,comment,1,143,163,
60ec6e138395,good-safe-to-use,hearing,1,111,143,Coucil members are also included in the queue? 
60ec6e138396,good-safe-to-use,hearing,2,308,327,
60ec6e138397,good-safe-to-use,comment,3,392,411,
2b9d1c8087e0,good-safe-to-use,comment,1,34,224,
2b9d1c8087e0,good-safe-to-use,comment,2,620,676,
fc88435b1f70,okay-use-if-needed,comment,1,11,12,No speakers 
fc88435b1f70,okay-use-if-needed,hearing,2,43,44,No speakers 
fc88435b1f70,okay-use-if-needed,hearing,3,53,68,
fc88435b1f70,okay-use-if-needed,hearing,4,90,97,
fc88435b1f70,okay-use-if-needed,hearing,5,146,171,
fc88435b1f70,okay-use-if-needed,hearing,6,184,326,
fc88435b1f70,okay-use-if-needed,comment,7,362,369,
03bf3a73b894,okay-use-if-needed,comment,1,15,51,
03bf3a73b894,okay-use-if-needed,comment,2,52,60,
03bf3a73b894,okay-use-if-needed,hearing,3,73,96,Good Example to go over w group
03bf3a73b894,okay-use-if-needed,hearing,4,98,,
03bf3a73b894,okay-use-if-needed,hearing,5,187,,
8f02293c8663,okay-use-if-needed,comment,1,8,45,
8f02293c8663,okay-use-if-needed,comment,,654,703,
048f95618850,good-safe-to-use,hearing,1,244,692,
048f95618850,good-safe-to-use,hearing,2,980,994,
7e0fc515e2c2,bad-do-not-use,,1,,,
c4784619780b,good-safe-to-use,comment,1,21,34,
c4784619780b,good-safe-to-use,comment,2,362,402,
64d2dd3bdca3,good-safe-to-use,comment,1,11,79,
64d2dd3bdca3,good-safe-to-use,comment,2,384,433,
d7c20f2426c5,good-safe-to-use,comment,1,37,92,
d7c20f2426c5,good-safe-to-use,comment,2,360,369,
70a14c89ece1,good-safe-to-use,comment,1,24,38,
70a14c89ece1,good-safe-to-use,comment,2,237,250,
6fc22799cf42,good-safe-to-use,comment,3,49,648,
6fc22799cf42,good-safe-to-use,hearing,4,995,1044,
6fc22799cf42,good-safe-to-use,hearing,5,1171,1350,
6fc22799cf42,good-safe-to-use,comment,6,1996,2166,cut off
f93138cb7beb,good-safe-to-use,comment,1,16,106,cut off
f93138cb7beb,good-safe-to-use,comment,2,456,490,
ad94fd3e7217,good-safe-to-use,comment,1,12,32,
ad94fd3e7217,good-safe-to-use,comment,2,342,372,
f5b28ab6c49f,okay-use-if-needed,comment,1,31,99,
f5b28ab6c49f,okay-use-if-needed,comment,2,294,345,
86c18cb03e18,good-safe-to-use,comment,1,263,264,
86c18cb03e18,good-safe-to-use,comment,2,284,291,
f9eccc8d1604,good-safe-to-use,comment,1,32,248,
f9eccc8d1604,good-safe-to-use,hearing,2,279,287,
f9eccc8d1604,good-safe-to-use,hearing,3,415,416,
f9eccc8d1604,good-safe-to-use,hearing,4,482,486,
f9eccc8d1604,good-safe-to-use,hearing,5,523,539,
f9eccc8d1604,good-safe-to-use,hearing,6,788,841,
f9eccc8d1604,good-safe-to-use,hearing,7,1007,1029,
f9eccc8d1604,good-safe-to-use,comment,8,1086,1128,
bcb76b8452dd,good-safe-to-use,hearing,1,49,88,
