model,accuracy,precision,recall,f1,time_pred
fine-tune-mpnet-three-sentences,0.9719101123595506,0.9530360531309299,0.9599616858237549,0.9560498177102449,0.04072761803530575
fine-tune-mpnet-single-sentences,0.9662921348314607,0.9426701356812025,0.9571839080459771,0.949570172896745,0.033148690555872544
fine-tune-gte-single-sentences,0.9662921348314607,0.9422833649588869,0.9484674329501915,0.9449387065991338,0.03522598341609655
fine-tune-gte-three-sentences,0.9550561797752809,0.9283510240505772,0.942911877394636,0.9352747995750024,0.04089695416139753
fine-tune-bge-single-sentences,0.9550561797752809,0.9338537637910678,0.9254789272030651,0.929563499534356,0.034280112620150106
semantic-logit-mpnet-single-sentences,0.9550561797752809,0.9305084745762713,0.9341954022988506,0.9280397344122835,5.0067901611328125e-06
semantic-logit-gte-single-sentences,0.9550561797752809,0.9242234016245315,0.9341954022988506,0.9275774826059456,2.1578220838911078e-05
semantic-logit-bert-uncased-single-sentences,0.9438202247191011,0.92296918767507,0.9199233716475096,0.9179266933799709,1.0179669669504916e-05
semantic-logit-bge-single-sentences,0.9438202247191011,0.9046894619916932,0.928639846743295,0.9146666100278947,8.556280243262816e-06
fine-tune-bge-three-sentences,0.9438202247191011,0.9159022038567493,0.9024904214559387,0.9068670057718422,0.03995446676618598
semantic-logit-mpnet-three-sentences,0.9382022471910112,0.8919366074538488,0.9171455938697318,0.903279224247909,3.3659881420349808e-06
semantic-logit-bert-uncased-three-sentences,0.9269662921348315,0.887263943785683,0.9203065134099617,0.9023851346897308,1.785996254910244e-05
fine-tune-bert-uncased-single-sentences,0.9438202247191011,0.9098943985307621,0.8937739463601533,0.8980620243137195,0.035349853922811786
semantic-logit-gte-three-sentences,0.9325842696629213,0.8804423545802855,0.9056513409961685,0.8917849713743456,4.387973399644487e-06
semantic-logit-bge-three-sentences,0.9269662921348315,0.8726930652320899,0.9028735632183907,0.8858928522905045,6.9315513868010444e-06
fine-tune-bert-uncased-three-sentences,0.8820224719101124,0.854239256678281,0.7673371647509578,0.7675656131576841,0.03679612781224626
